,Zipcode,Lat,Lng
248,13838,42.2826382,-75.3761952
249,12803,43.2941106,-73.6241855
250,665,34.087005,-118.380437
251,08012,39.7891108,-75.0552739
252,13662,44.921867,-74.889941
253,11010,40.7054571,-73.67128009999999
254,07028,40.8034312,-74.2032581
255,08857,40.3879889,-74.3352858
256,11741,40.7941562,-73.0700421
257,08533,40.0479478,-74.4760088
258,11231,40.6772802,-74.0094471
259,07030,40.744052,-74.0270745
260,13440,43.2212399,-75.45777749999999
261,12538,41.8101721,-73.90070899999999
262,08051,39.7857414,-75.1837216
263,08027,39.8295822,-75.2887369
264,12568,41.6176719,-74.07632009999999
265,08526,41.6176719,-74.07632009999999
266,08540,40.3815302,-74.651754
267,13491,42.880353,-75.17788530000001
268,14304,43.0939533,-78.9627624
269,14304,43.0939533,-78.9627624
270,14303,43.0771026,-79.03625439999999
271,11801,40.7621388,-73.51818329999999
272,12533-8323,41.6120592,-73.780838
273,08533,40.0479478,-74.4760088
274,725,33.821675,-117.9937867
275,08872,40.465024,-74.3528822
276,12801,43.3163893,-73.6477342
277,10931,41.1186497,-74.16803469999999
278,08360,39.4787827,-75.03775019999999
279,07751,40.36663679999999,-74.2531465
280,07057,40.8535873,-74.103441
281,820,32.8139842,-97.40950339999999
282,11751,40.7267132,-73.21165839999999
283,11501,40.7476654,-73.6389038
284,08527,40.0918895,-74.35874729999999
285,08831,40.3362872,-74.43298519999999
286,12095,43.015141,-74.41738769999999
287,14423,42.9331502,-77.85959629999999
288,12538,41.8101721,-73.90070899999999
289,666,37.5360459,-77.317731
290,10536,41.296223,-73.712479
291,08041,40.0307185,-74.68102739999999
292,11735,40.7245083,-73.4298073
293,14845,42.1971677,-76.8028933
294,08817,40.5054763,-74.3939339
295,08095,39.6568724,-74.8629644
296,08853,40.533515,-74.74541119999999
297,08060,40.0205975,-74.7922202
298,08015,39.9340605,-74.5228916
299,11776,40.90860139999999,-73.0464309
300,07036,40.6216016,-74.22967129999999
301,14482,42.9812874,-77.9510209
302,11542,40.8663111,-73.6241855
303,11735,40.7245083,-73.4298073
304,08009,39.7737102,-74.9384135
305,08071,39.7292456,-75.1370254
306,14755,42.2190311,-78.8156113
307,07644,40.8798669,-74.0799469
308,07728,40.2303787,-74.27661859999999
309,14304,43.0939533,-78.9627624
310,13322,43.0939533,-78.9627624
311,07755,40.2598423,-74.0241367
312,11722,40.7881249,-73.19396119999999
313,10567,41.2808277,-73.87719009999999
314,12020,43.0033171,-73.86542949999999
315,08213,43.0033171,-73.86542949999999
316,07874,40.9292038,-74.70444250000001
317,10516,41.4647713,-73.86542949999999
318,08104,39.9175385,-75.1136721
319,08085,39.7491498,-75.329557
320,08086,39.8477018,-75.1953934
321,11542,40.8663111,-73.6241855
322,707,37.788551,-122.412105
323,07607,40.9020267,-74.0623244
324,08641,40.026469,-74.5756196
325,12205,42.722661,-73.8301437
326,07416,41.1202161,-74.5873348
327,08846,40.575405,-74.505312
328,12440,41.7887335,-74.1592278
329,07727,40.1940632,-74.1592278
330,08520,40.2658873,-74.5346103
331,07044,40.836743,-74.2472779
332,08558,40.4109485,-74.72200169999999
333,08822,40.5377063,-74.8507131
334,08332,39.3571738,-75.03775019999999
335,08733,40.024885,-74.3264869
336,749,33.775,-84.38377
337,07722,40.28873859999999,-74.1944529
338,12543,41.4875473,-74.21499779999999
339,11590,40.7452159,-73.5711912
340,11222,40.7282702,-73.9506774
341,14150,43.0083406,-78.8722341
342,12866,43.0964412,-73.7242486
343,08067,39.7409308,-75.42281899999999
344,11968,40.9045168,-72.4139787
345,11804,40.7535026,-73.4592701
346,11530,40.7217973,-73.6477342
347,14760,42.1000383,-78.4069732
348,13209,43.0775218,-76.24211849999999
349,07051,40.77,-74.22999999999999
350,641,34.067034,-118.4481643
351,11530,40.7217973,-73.6477342
352,11557,40.636775,-73.69188059999999
353,07005,40.9245036,-74.41738769999999
354,612,38.5741269,-90.41823900000001
355,701,38.0500414,-97.3455558
356,14070,42.4333399,-78.9175088
357,14138,42.3579282,-79.0419053
358,14225,42.9202891,-78.7589558
359,07801,40.9479587,-74.5521869
360,07105,40.7231264,-74.1416127
361,08533,40.0479478,-74.4760088
362,07306,40.7329808,-74.0711359
363,12901,44.74786659999999,-73.44167209999999
364,07882,40.7496608,-75.0260667
365,13126,43.4244918,-76.4794435
366,08240,39.48031719999999,-74.5375399
367,11050,40.84700100000001,-73.69482339999999
368,11735,40.7245083,-73.4298073
369,08232,39.3983456,-74.511172
370,624,36.150004,-95.988237
371,08110,39.9701797,-75.0552739
372,07020,40.8204965,-73.97418739999999
373,07866,40.930976,-74.519706
374,11377,40.74133339999999,-73.90364869999999
375,10974,41.143633,-74.1885825
376,08879,40.4751425,-74.2824862
377,617,37.5541309,-122.3108469
378,08753,39.9741059,-74.1592278
379,08837,40.5230137,-74.3411515
380,13839,42.23999209999999,-75.27123929999999
381,07456,41.0937181,-74.2883536
382,07104,40.7758541,-74.16509909999999
383,13850,42.0636938,-76.01598
384,07866,40.930976,-74.519706
385,07866,40.930976,-74.519706
386,08553,40.39777400000001,-74.642971
387,08554,40.1163333,-74.77759379999999
388,07935,40.7457606,-74.4467007
389,13045,42.5890797,-76.2015572
390,08026,39.8350824,-74.9647145
391,11963,41.0092107,-72.3015121
392,12090,42.8893778,-73.3472901
393,683,39.9815438,-83.00538619999999
394,12501,41.844384,-73.5358541
395,08872,40.465024,-74.3528822
396,07072,40.8202314,-74.0593872
397,759,30.4503779,-84.3062298
398,13669,44.6550526,-75.5041352
399,14541,42.7486575,-76.8951551
400,07054,40.8620476,-74.3939339
401,12533,41.5359809,-73.8183804
402,08026,39.8350824,-74.9647145
403,08344,39.5652293,-75.0026972
404,13839,42.23999209999999,-75.27123929999999
405,14895,42.0915967,-77.9510209
406,11780,40.9026612,-73.17036279999999
407,11729,40.7622141,-73.317812
408,13052,42.7349941,-75.8301537
409,08852,40.3913012,-74.54046939999999
410,08341,39.515707,-74.9530257
411,08533,40.0479478,-74.4760088
412,07032,40.7593718,-74.1181234
413,11021,40.7851185,-73.7271909
414,10901,41.1411152,-74.1357407
415,08110,39.9701797,-75.0552739
416,07032,40.7593718,-74.1181234
417,11791,40.8334827,-73.5005111
418,08088,39.8388924,-74.7102958
419,612,38.5741269,-90.41823900000001
420,13833,42.1897828,-75.78365889999999
421,11735,40.7245083,-73.4298073
422,801,38.9169435,-77.023099
423,07050,40.7680056,-74.2326058
424,07004,40.8844007,-74.30595459999999
425,08026,39.8350824,-74.9647145
426,07073,40.8136765,-74.0828839
427,617,37.5541309,-122.3108469
428,08302,39.4280941,-75.27123929999999
429,763,47.4718461,-122.2552132
430,762,39.522518,-87.12705799999999
431,763,47.4718461,-122.2552132
432,07075,40.8519315,-74.0916944
433,13850,42.0636938,-76.01598
434,13850,42.0636938,-76.01598
435,08360,39.4787827,-75.03775019999999
436,08360,39.4787827,-75.03775019999999
437,13069,43.3375272,-76.3868797
